indicateur,unit,date,value
ADSL,Nombre,2015,10185.0
ADSL,Nombre,2016,8299.0
ADSL,Nombre,2017,10536.0
ADSL,Nombre,2018,14957.0
ADSL,Nombre,2019,14589.0
EvDo,Nombre,2013,21765.0
EvDo,Nombre,2014,32460.0
EvDo,Nombre,2015,52414.0
EvDo,Nombre,2016,35736.0
EvDo,Nombre,2017,33928.0
FTTH,Nombre,2013,0.0
FTTH,Nombre,2014,0.0
FTTH,Nombre,2015,0.0
FTTH,Nombre,2016,0.0
FTTH,Nombre,2017,92.0
FTTH,Nombre,2018,2068.0
FTTH,Nombre,2019,6888.0
Abonnés CAFE,Nombre,2013,2764.0
Abonnés CAFE,Nombre,2014,2490.0
Abonnés CAFE,Nombre,2015,2964.0
Abonnés CAFE,Nombre,2016,4150.0
Abonnés CAFE,Nombre,2017,4793.0
Abonnés CAFE,Nombre,2018,5619.0
Abonnés CAFE,Nombre,2019,2334.0
TEOLIS,Nombre,2013,0.0
TEOLIS,Nombre,2014,0.0
TEOLIS,Nombre,2015,0.0
TEOLIS,Nombre,2016,0.0
TEOLIS,Nombre,2017,0.0
TEOLIS,Nombre,2018,17.0
TEOLIS,Nombre,2019,154.0
GVA,Nombre,2013,0.0
GVA,Nombre,2014,0.0
GVA,Nombre,2015,0.0
GVA,Nombre,2016,0.0
GVA,Nombre,2017,0.0
GVA,Nombre,2018,1180.0
GVA,Nombre,2019,5945.0
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2013,5.24
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2014,8.95
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2015,12.94
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2016,21.98
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2017,36.31
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2018,49.55
Taux de pénétration Internet (Toutes technologies) (%),Nombre,2019,44.79
Taux de pénétration Internet haut débit (%),Nombre,2013,2.43
Taux de pénétration Internet haut débit (%),Nombre,2014,3.75
Taux de pénétration Internet haut débit (%),Nombre,2015,7.14
Taux de pénétration Internet haut débit (%),Nombre,2016,20.81
Taux de pénétration Internet haut débit (%),Nombre,2017,28.25
Taux de pénétration Internet haut débit (%),Nombre,2018,34.26
Taux de pénétration Internet haut débit (%),Nombre,2019,27.34
